 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73	Mean74	Mean75	Mean76	Mean77	Mean78	Mean79	Mean80	Mean81	Mean82	Mean83	Mean84	Mean85	Mean86	Mean87	Mean88	Mean89	Mean90	Mean91	Mean92	Mean93	Mean94	Mean95	Mean96	Mean97	Mean98	Mean99	Mean100	Mean101	Mean102	Mean103	Mean104	Mean105
1	235.737	244.073	337.146	292.970	661.817	570.283	259.199	486.804	702.953	430.460	1035.916	246.584	267.651	384.503	266.612	397.018	320.016	399.143	654.966	852.590	822.938	288.585	784.758	539.365	305.534	642.417	464.084	363.980	523.788	907.179	1111.450	795.863	707.891	365.512	802.527	512.361	1527.512	893.495	1281.523	1048.003	992.442	460.408	3143.911	1141.995	845.021	385.035	1310.663	533.776	847.839	689.103	1276.030	561.820	980.840	404.549	499.879	453.363	450.497	1075.093	1032.688	1004.093	1712.241	617.568	402.342	365.293	358.920	469.306	632.698	340.033	1841.391	498.432	1009.149	1552.908	562.376	546.329	615.102	1305.724	621.471	1250.748	1770.402	753.865	361.737	892.219	497.386	317.483	783.931	450.827	1232.683	248.574	419.199	256.387	766.430	514.541	1178.269	2393.403	866.151	790.904	1400.452	1289.382	222.023	344.603	1228.507	302.983	332.618	381.473	458.671
2	248.798	241.393	346.692	312.391	706.242	508.549	250.806	490.527	786.496	457.654	1110.810	265.683	276.964	347.677	273.524	370.369	338.011	378.193	653.490	981.313	817.028	298.545	805.770	509.528	303.160	714.759	510.522	342.691	536.347	941.393	985.195	907.439	671.640	359.793	820.348	504.882	1482.289	880.349	1099.501	925.902	998.855	527.642	3127.721	1064.810	853.152	443.258	1316.000	548.754	1003.416	669.569	1240.379	587.928	933.210	440.532	522.263	500.554	480.083	1042.797	1024.712	937.068	1626.662	590.588	396.230	385.809	381.180	402.674	637.675	328.026	1701.079	457.041	1039.585	1672.153	510.050	547.831	650.536	1321.639	559.475	1127.027	1851.963	904.389	407.954	787.285	553.948	321.775	823.701	492.868	1119.322	270.591	400.514	236.541	861.881	491.302	1174.948	2373.730	941.918	727.284	1278.164	1188.115	229.772	383.906	1188.454	328.605	361.837	361.097	464.077
3	255.953	232.312	314.281	312.682	522.570	496.599	241.280	419.632	734.401	450.223	1063.876	260.433	266.419	358.174	264.338	384.387	273.381	363.363	640.560	892.872	925.972	287.529	814.367	453.118	284.670	710.508	477.576	350.597	543.941	962.451	1002.805	951.108	711.979	392.091	813.330	553.051	1556.992	870.477	1036.561	1027.260	967.041	522.979	3314.717	1121.957	876.086	395.103	1234.391	539.924	796.497	637.969	1185.394	528.360	983.307	465.882	447.500	412.412	486.051	1046.188	1066.536	999.627	1555.842	640.187	369.365	416.508	350.799	391.254	683.384	340.507	1590.604	486.245	1049.668	1590.020	574.170	603.377	679.477	1348.598	523.998	1200.464	1781.909	765.008	411.886	838.879	534.074	335.168	798.359	452.080	1189.750	258.603	386.502	241.599	789.248	455.367	1289.494	2364.401	990.324	883.472	1501.412	1192.027	219.561	326.741	1222.294	342.067	342.173	410.041	464.995
4	248.798	241.393	346.692	312.391	702.710	508.549	250.806	490.527	786.496	457.654	1110.810	265.683	276.964	347.677	273.524	370.369	338.011	378.193	653.490	981.313	817.028	298.545	805.770	509.528	303.160	714.759	510.522	342.691	536.347	941.393	985.195	907.439	671.640	359.793	820.348	489.505	1482.289	895.010	1208.293	1045.083	965.145	527.642	3177.285	1107.299	888.239	443.258	1316.000	548.754	1003.416	669.569	1240.379	587.928	969.251	440.532	522.263	500.554	480.083	1042.797	1024.712	937.068	1626.662	590.588	396.230	385.809	381.180	402.674	637.675	328.026	1701.079	457.041	1039.585	1672.153	510.050	547.831	650.536	1321.639	559.475	1127.027	1851.963	904.389	407.954	787.285	553.948	321.775	823.701	430.977	1119.322	270.591	400.514	236.541	861.881	491.302	1200.675	2373.730	941.918	787.916	1372.532	1188.115	229.772	383.906	1188.454	328.605	396.712	361.097	464.077
5	255.292	248.741	324.046	299.181	567.930	510.072	268.569	508.584	745.117	409.197	1083.035	244.604	257.336	358.435	256.336	416.165	307.307	354.779	664.329	982.140	795.588	286.761	753.766	444.505	276.746	695.343	506.629	361.409	578.164	1064.977	1043.087	826.352	674.340	362.612	828.897	479.910	1550.112	938.148	1125.199	897.490	1036.861	496.924	3241.158	1142.052	853.700	394.465	1280.950	561.834	889.423	742.971	1211.799	496.949	998.564	450.422	492.479	469.538	481.546	1096.838	976.619	1008.077	1699.125	586.836	446.793	446.662	374.597	419.159	788.440	332.892	1780.458	502.652	1008.248	1595.884	585.490	559.484	668.318	1425.663	627.257	1217.637	1729.441	823.867	428.621	826.690	504.876	313.216	816.047	459.309	1197.524	249.957	429.867	244.122	774.159	516.903	1197.492	2306.963	1011.783	871.000	1342.229	1363.812	216.700	349.774	1227.020	339.172	378.800	362.698	495.121
6	251.055	247.433	319.427	330.575	653.694	567.608	249.311	485.128	765.095	469.561	1125.495	265.102	300.117	345.419	271.919	363.224	343.354	375.939	613.231	898.602	802.318	276.139	769.022	485.860	271.565	658.681	471.450	353.526	526.719	895.475	1064.949	876.944	706.987	359.508	851.568	500.054	1446.161	861.926	1177.326	1041.662	1022.099	519.619	3138.957	1048.721	838.551	391.841	1247.714	572.696	877.797	753.613	1286.563	580.139	876.670	474.429	573.541	492.851	501.464	1010.039	1038.508	1031.435	1692.662	598.789	366.142	427.496	330.850	377.905	703.423	331.002	1712.371	498.252	1067.646	1541.369	517.961	567.603	679.201	1354.283	606.586	1197.797	1789.247	864.555	387.823	834.518	545.289	326.283	784.721	456.887	1164.398	251.174	376.887	259.793	794.478	525.246	1209.336	2509.425	854.738	799.988	1355.864	1266.073	236.202	393.654	1048.310	349.222	313.425	372.207	461.284
7	231.252	246.531	308.182	291.771	635.685	472.272	250.629	496.610	719.281	490.723	1061.706	239.292	281.223	366.081	254.449	383.593	321.679	369.654	616.633	999.151	759.858	279.891	755.131	451.678	302.634	696.809	502.380	354.008	529.630	938.118	1026.068	826.121	703.421	375.969	804.809	484.502	1575.990	772.125	1203.367	1091.742	926.479	479.257	2943.540	1067.417	915.504	395.563	1409.296	553.295	850.769	654.706	1161.533	594.144	923.299	499.677	483.606	476.740	437.485	1070.259	1070.910	1017.429	1829.810	613.623	425.970	414.092	355.681	421.846	635.093	297.549	1744.477	503.774	1036.299	1502.371	489.081	552.831	650.146	1355.109	548.195	1260.997	1822.854	920.380	373.540	784.706	504.832	359.558	776.521	453.765	1149.122	249.889	404.135	246.206	737.147	517.607	1166.986	2383.312	927.262	793.751	1402.718	1445.854	228.258	347.447	1161.033	336.178	339.580	343.781	480.284
8	239.296	243.931	291.401	331.282	684.406	528.553	258.783	592.489	814.657	482.065	1147.819	256.696	292.092	369.168	279.811	382.758	277.996	392.645	597.059	877.214	805.622	272.030	836.955	505.478	306.797	734.791	467.620	340.493	558.620	849.918	899.389	921.034	670.487	350.007	886.292	534.969	1650.380	933.242	1304.264	1033.474	1065.148	527.772	3232.729	1061.961	939.761	418.170	1333.774	538.337	884.612	755.182	1214.362	561.072	965.703	516.634	484.116	425.654	458.126	1072.384	1034.966	1054.932	1658.029	634.084	383.954	421.772	322.269	422.298	764.321	304.150	1696.452	553.216	1000.271	1591.314	517.708	572.129	764.028	1431.876	579.846	1241.933	1760.254	793.254	398.349	824.148	518.408	353.293	863.069	476.366	1234.533	252.320	395.264	240.423	887.537	475.542	1312.528	2407.296	914.712	792.638	1444.232	1383.464	226.022	382.456	1157.313	344.701	375.687	355.100	475.727
9	235.124	245.094	335.858	329.036	613.008	512.104	268.938	498.100	806.212	479.384	1080.731	248.838	274.396	391.468	259.980	396.552	301.835	365.170	658.483	874.747	769.005	273.385	808.955	465.860	265.569	714.123	500.182	347.595	539.119	925.612	1002.997	860.052	697.011	386.211	840.081	515.561	1547.837	973.763	1180.283	1093.144	990.991	484.818	3065.599	1130.059	882.385	396.326	1281.402	532.610	930.619	676.426	1282.664	566.343	905.878	429.504	471.823	463.325	510.424	1099.484	1039.646	999.204	1581.003	583.201	376.652	412.548	383.358	389.933	661.527	311.608	1653.649	537.881	1052.455	1651.130	594.273	538.815	702.740	1351.224	603.070	1178.564	1740.582	896.081	398.119	858.101	527.227	332.611	905.341	441.128	1157.517	253.807	376.642	257.762	739.613	432.808	1158.339	2469.937	894.100	831.730	1141.542	1380.397	231.331	332.553	1175.250	319.824	359.858	374.732	469.014
10	235.107	251.136	299.238	306.476	593.599	501.351	258.033	504.030	794.632	516.182	1103.717	246.217	289.608	341.826	249.814	380.340	352.835	365.520	676.635	856.752	864.865	269.857	779.247	496.847	265.351	708.605	484.809	362.493	564.835	920.934	1002.834	850.166	718.535	401.035	805.221	516.633	1537.783	843.707	1238.614	1077.848	928.652	500.365	3172.721	1108.376	898.389	393.131	1277.596	498.807	863.713	638.358	1269.917	545.528	961.874	495.221	506.452	446.768	455.697	1104.091	951.078	1111.596	1551.656	592.020	414.168	394.692	362.686	395.558	583.476	380.187	1667.809	501.332	973.122	1546.277	580.295	608.288	761.565	1328.909	569.385	1271.393	1693.496	819.825	374.482	812.198	505.498	314.331	762.590	452.208	1189.596	256.313	411.814	248.218	765.420	527.615	1271.318	2350.974	933.998	845.890	1303.446	1445.264	230.578	322.451	1226.127	323.457	344.068	348.917	503.916
11	249.472	250.345	308.060	318.149	599.642	513.118	249.027	516.110	749.986	439.638	1037.177	262.723	258.860	365.510	270.119	352.896	311.904	358.895	626.356	895.438	892.788	262.497	759.101	520.873	261.916	737.132	538.458	333.817	520.700	896.237	1049.372	1029.657	686.661	337.505	794.540	445.510	1600.000	870.908	1153.943	963.245	943.136	490.130	3171.004	1096.558	884.097	423.281	1312.016	484.016	934.035	694.440	1197.846	604.343	1000.834	470.240	494.440	508.693	436.988	1092.376	1061.913	988.969	1657.576	628.882	459.956	428.714	311.794	438.080	620.919	305.024	1688.322	528.300	1036.309	1607.855	534.783	567.978	664.015	1318.559	592.955	1181.453	1736.162	839.699	380.586	837.020	535.268	327.510	841.007	443.809	1228.676	249.679	342.699	250.408	717.592	495.071	1177.761	2472.303	991.781	880.412	1331.232	1333.794	230.772	354.136	1147.842	334.044	372.873	367.923	434.675
12	240.817	230.167	325.887	294.582	597.530	569.567	270.815	519.564	778.933	484.891	1107.828	255.390	294.221	349.642	254.566	361.122	325.180	349.408	630.016	900.842	789.054	289.262	770.305	513.878	313.229	655.569	483.096	330.363	568.194	845.217	1148.761	788.688	690.249	366.050	761.000	495.311	1635.852	968.362	1164.885	960.856	1046.550	452.668	3191.862	1124.871	947.953	402.158	1310.979	536.599	848.154	681.864	1205.548	572.493	964.960	515.451	514.144	467.654	451.839	1057.713	1035.370	1023.768	1519.987	665.780	398.665	433.466	315.742	476.121	669.435	342.659	1740.966	529.459	1022.104	1705.556	521.384	587.159	686.028	1352.446	606.856	1234.829	1810.205	797.170	389.981	763.883	487.861	349.885	812.593	393.058	1187.128	269.602	444.239	253.379	857.051	480.759	1159.021	2414.159	1038.672	763.959	1260.458	1471.097	220.949	349.199	1171.433	345.657	361.262	423.822	438.239
13	244.218	240.864	312.457	287.773	650.188	521.163	242.290	508.699	843.348	513.814	1119.128	257.531	304.587	355.542	241.868	400.499	336.612	378.324	601.079	951.570	854.590	281.504	785.511	422.437	291.507	689.880	468.487	322.694	597.590	921.612	1006.823	886.307	686.459	349.292	838.582	500.733	1603.813	896.722	1053.204	984.662	1030.840	534.586	3087.850	1095.098	907.165	391.860	1339.290	555.815	943.094	706.152	1249.206	537.343	996.945	434.880	454.692	455.996	496.240	1019.462	1075.931	912.512	1480.672	610.074	382.869	464.040	333.859	400.352	687.178	354.476	1670.479	538.301	930.678	1590.917	457.696	531.996	733.894	1379.932	531.023	1173.805	1741.951	774.144	389.021	881.763	572.223	344.842	714.887	442.228	1183.148	252.668	384.941	263.285	790.200	497.690	1211.124	2339.377	909.781	929.626	1204.009	1323.967	224.331	342.954	1197.390	362.316	380.084	391.434	506.234
14	247.460	228.094	293.977	327.628	655.185	551.894	264.032	485.247	749.649	442.658	1082.569	253.890	253.006	343.365	256.811	411.344	339.036	365.543	648.469	843.836	851.622	273.956	731.545	510.148	266.696	710.199	533.802	367.909	634.036	902.266	987.200	840.092	697.705	368.695	837.795	510.898	1493.000	785.082	1245.012	874.240	1051.084	477.350	3223.763	1118.349	936.060	423.865	1389.064	553.120	956.448	694.486	1140.034	527.268	974.078	502.836	470.047	523.975	481.220	1057.188	1060.069	1124.454	1596.656	652.435	373.443	387.348	361.063	411.355	614.429	333.011	1634.947	529.275	1019.874	1642.301	547.474	559.202	659.657	1365.352	547.294	1237.935	1640.026	783.704	372.895	707.395	484.582	336.147	813.167	473.813	1119.772	241.009	375.408	258.833	749.104	500.939	1305.287	2254.322	1025.140	832.238	1355.468	1432.536	228.306	376.288	1218.781	319.755	341.377	357.524	482.511
15	240.966	243.966	315.324	318.841	683.043	513.996	264.000	467.582	843.053	454.769	1092.751	257.569	317.860	410.145	264.936	419.511	351.661	364.586	634.132	937.656	812.497	287.378	811.444	482.722	282.515	589.854	535.046	370.216	508.344	841.824	1012.238	836.298	623.979	375.684	776.313	527.652	1652.033	829.454	1210.053	951.000	986.316	517.205	3180.221	1109.283	918.778	379.391	1335.126	496.754	911.444	690.440	1205.180	529.282	992.086	486.431	459.815	479.072	452.766	1126.186	987.000	1023.932	1523.305	611.513	369.897	396.776	351.047	450.895	704.354	339.103	1750.909	504.083	1097.387	1587.303	445.150	554.454	665.036	1304.876	539.988	1218.439	1686.666	782.548	398.753	789.796	457.621	329.778	822.417	444.788	1199.793	263.786	410.594	239.648	753.610	551.059	1288.592	2340.660	990.375	886.313	1233.433	1318.539	227.257	341.158	1225.006	338.699	367.690	399.183	447.920
16	243.389	267.868	299.864	324.762	574.774	526.771	271.245	472.073	711.844	482.212	1039.417	266.162	275.172	332.824	256.511	376.324	318.013	389.771	626.757	947.877	828.077	279.832	800.313	498.519	279.562	698.302	508.878	361.906	524.987	917.002	978.314	882.424	641.013	373.089	864.295	501.664	1503.026	965.923	1230.715	1048.307	1135.698	558.614	3242.619	1095.696	875.661	382.196	1384.172	506.187	1021.038	788.262	1098.964	552.811	924.707	485.479	509.394	501.436	524.750	1020.581	994.349	1051.306	1676.254	582.353	401.452	403.487	304.817	456.198	696.115	343.139	1811.957	534.743	1033.326	1531.375	585.295	597.925	705.648	1368.537	530.089	1215.051	1690.743	825.824	399.179	787.172	527.663	342.775	851.517	439.340	1112.289	255.899	376.892	261.516	680.939	505.622	1243.675	2513.242	973.716	866.551	1288.146	1310.461	240.162	347.854	1379.551	357.371	336.928	387.113	448.561
17	251.822	236.644	314.573	292.709	678.261	508.800	257.354	478.461	800.187	431.646	1043.386	244.807	268.068	360.453	245.816	356.528	283.617	342.377	648.265	852.363	780.751	280.815	807.077	453.620	288.927	656.610	502.443	354.239	564.239	900.104	1103.328	894.022	655.620	352.893	895.515	476.911	1528.390	905.939	1325.911	949.448	1076.210	500.470	3121.243	1133.077	973.673	385.880	1407.747	570.428	972.395	663.451	1227.227	578.030	845.002	533.663	495.767	516.189	459.336	1082.553	1057.642	1081.228	1549.158	626.752	394.716	408.571	336.705	406.237	625.338	320.527	1691.039	495.135	918.949	1707.397	540.967	568.688	750.292	1313.004	612.671	1235.525	1638.459	883.152	389.786	833.561	525.084	333.404	812.147	442.165	1203.393	246.441	373.989	239.206	715.803	475.665	1247.580	2519.682	861.361	858.423	1445.703	1280.009	233.452	369.453	1296.690	335.044	359.752	349.099	479.620
18	257.393	243.444	360.414	336.021	642.632	575.292	261.134	500.932	793.577	414.355	940.870	249.338	268.594	396.608	258.858	400.619	349.131	359.605	619.791	918.335	848.971	272.165	792.170	476.024	298.203	662.607	472.391	381.328	583.408	833.067	1143.343	849.489	677.409	369.745	791.227	531.664	1523.581	855.033	1169.139	932.394	1025.238	515.779	3256.291	1123.483	913.451	422.756	1297.493	510.905	806.031	653.305	1273.822	641.388	957.735	415.087	453.274	513.233	535.312	1108.946	982.763	989.339	1669.740	619.137	361.390	395.670	337.066	416.527	653.074	346.396	1869.008	493.113	973.499	1560.957	582.201	608.147	706.526	1488.443	559.216	1363.525	1820.408	794.039	381.635	821.640	558.275	377.538	885.637	489.630	1181.156	254.559	370.147	242.198	786.332	449.189	1182.756	2347.753	948.315	823.777	1336.142	1239.706	218.599	354.351	1227.229	341.954	416.409	379.277	463.071
19	253.368	243.556	337.513	286.238	698.513	543.109	250.479	498.792	718.897	503.475	1063.803	267.162	271.721	369.515	264.596	430.849	307.071	372.246	579.605	901.529	778.634	260.582	782.640	504.443	289.382	715.382	486.677	337.566	553.295	952.049	1111.482	892.910	729.046	351.582	898.683	487.793	1500.427	932.934	1201.211	983.229	943.904	525.642	3292.310	986.045	912.370	408.273	1198.043	539.111	976.038	678.536	1228.493	543.736	959.112	512.850	488.953	425.598	481.242	1062.832	1002.080	1103.741	1561.485	569.544	413.415	383.240	329.637	400.542	705.739	347.403	1675.815	474.058	991.838	1607.332	480.175	558.817	704.185	1284.498	551.080	1254.057	1661.311	809.186	380.463	851.259	500.054	341.798	771.784	472.973	1139.796	255.197	425.151	257.426	826.276	500.114	1286.337	2294.451	995.834	706.661	1308.666	1342.979	229.149	357.997	1375.771	349.614	395.671	339.473	494.314
20	241.688	242.443	300.328	311.849	657.468	492.864	245.321	471.724	687.340	456.628	1128.654	253.456	307.764	375.948	256.904	408.660	319.174	327.141	643.594	1001.337	851.244	271.413	736.376	448.298	294.944	710.144	471.873	370.241	511.745	864.824	1072.401	764.917	715.732	384.933	854.807	504.333	1544.915	958.064	1227.559	1009.412	969.863	479.431	3113.885	1034.705	863.076	395.113	1217.561	527.375	935.045	681.675	1287.724	557.408	966.516	453.417	477.336	406.857	486.271	1110.047	1011.032	1097.306	1547.627	591.945	374.457	436.074	335.253	408.679	742.244	357.696	1724.852	507.846	1000.810	1591.766	501.368	608.161	698.474	1347.424	550.165	1345.074	1680.952	802.832	397.475	765.413	534.757	345.349	777.668	453.329	1192.280	261.815	421.092	258.706	761.116	508.582	1211.940	2375.132	931.539	836.980	1340.616	1475.224	241.844	354.505	1288.241	331.207	375.250	332.527	454.229
21	235.288	219.693	293.550	308.242	678.524	477.587	250.205	496.521	713.967	442.539	1042.612	243.919	266.613	395.645	248.171	403.126	352.160	328.873	635.651	925.916	772.651	280.077	788.946	448.453	334.390	645.768	499.398	377.926	569.415	983.804	927.168	876.269	699.616	389.116	728.437	523.639	1512.484	816.375	1147.341	919.907	1035.767	479.771	3189.130	1140.447	935.136	398.496	1405.544	525.051	937.343	752.952	1298.139	616.708	972.280	465.733	483.756	478.087	466.888	1179.097	1026.834	931.870	1484.482	641.293	384.128	370.675	355.283	425.473	632.293	376.639	1558.639	499.687	1044.764	1650.228	533.209	585.619	744.446	1439.528	517.311	1157.407	1698.045	828.353	364.056	806.071	522.010	358.769	803.161	466.274	1085.576	254.368	374.578	259.851	771.653	510.827	1159.809	2313.514	1059.645	837.012	1332.811	1452.264	214.387	327.088	1377.505	344.450	352.120	377.034	447.168
22	258.947	233.301	296.245	293.563	663.271	503.764	244.160	596.221	763.903	482.127	1229.307	251.905	288.566	361.561	242.504	388.035	336.898	364.842	639.374	890.037	877.026	281.286	723.315	475.976	286.494	679.971	535.599	359.319	548.376	886.993	1077.389	934.504	662.328	360.055	881.208	523.356	1531.356	900.630	1316.269	990.510	1037.805	481.299	3104.273	1120.297	952.014	422.258	1245.876	541.133	876.434	650.182	1339.236	544.426	948.920	465.394	483.526	495.149	407.301	1183.771	1005.053	986.438	1564.611	594.608	443.746	392.278	375.232	385.720	691.745	361.156	1819.700	532.520	1030.417	1575.334	575.794	580.431	679.021	1281.285	597.623	1137.453	1689.562	812.607	391.512	821.757	510.809	348.865	890.309	481.932	1130.885	260.834	396.418	247.551	660.051	450.998	1223.472	2363.157	1017.075	893.875	1494.576	1433.230	216.414	331.800	1305.834	356.357	380.236	363.665	473.943
23	255.029	253.994	305.778	309.327	593.535	523.193	259.496	485.534	818.295	472.320	1053.565	259.670	256.532	355.923	250.733	366.927	275.287	381.854	656.122	886.665	803.142	295.504	799.934	478.414	292.211	706.511	485.086	361.177	590.351	977.645	1034.333	862.211	734.629	380.061	814.787	471.425	1534.246	818.186	1144.043	1011.327	979.349	529.782	2999.370	1128.490	897.613	434.922	1314.193	487.288	1003.906	636.187	1283.925	570.685	904.832	470.120	525.938	483.031	479.766	1163.201	980.756	967.932	1646.113	629.343	412.133	401.531	356.885	420.478	629.473	319.952	1728.753	514.652	1020.659	1657.550	502.501	572.220	700.659	1329.450	554.300	1327.353	1817.156	827.497	406.232	804.298	508.421	310.906	817.383	455.961	1211.996	242.858	422.227	241.195	709.997	489.123	1164.215	2268.458	975.541	735.281	1330.864	1374.970	221.268	361.762	1249.084	347.520	369.875	371.330	490.734
24	240.604	252.711	323.821	300.250	657.347	593.127	260.204	441.902	805.396	442.231	1121.918	252.925	270.740	363.071	255.393	355.521	328.056	369.129	607.154	844.996	806.537	270.770	748.846	453.898	271.666	701.565	519.538	373.168	518.439	950.628	1055.182	809.659	659.574	390.139	882.224	509.338	1510.726	824.495	1236.141	1069.729	1096.706	494.810	3218.804	1123.719	897.992	379.981	1338.954	539.426	1064.951	712.565	1236.649	583.718	893.581	450.903	490.026	520.767	446.037	1092.853	987.632	1044.389	1610.482	590.493	420.379	442.084	348.710	401.779	667.769	337.888	1720.446	502.696	1096.076	1613.526	556.510	612.236	722.769	1266.002	548.990	1120.775	1747.881	897.615	398.437	740.107	475.706	332.996	877.260	458.551	1306.017	258.068	427.360	265.298	765.825	518.248	1212.824	2524.417	937.368	730.055	1184.752	1223.188	212.055	382.350	1246.208	358.635	402.553	398.310	451.013
25	247.320	238.218	314.255	289.864	573.651	465.213	254.072	458.589	706.496	465.682	1105.199	233.829	246.679	356.715	264.206	364.407	310.690	396.512	720.308	919.404	851.305	266.620	768.631	479.727	321.944	685.231	547.338	346.571	544.394	982.934	1086.958	921.040	688.912	347.900	871.311	481.967	1418.181	772.811	1125.556	1036.495	983.476	507.340	3042.093	1074.308	798.463	423.386	1334.288	523.415	894.486	665.101	1268.927	605.531	931.109	485.371	485.032	486.238	524.312	1102.421	986.260	1111.710	1568.309	634.576	416.754	370.544	344.667	411.686	703.756	354.769	1743.329	496.167	1095.922	1722.868	584.212	640.448	727.511	1369.754	588.379	1233.653	1740.083	764.795	370.965	803.059	549.755	318.683	809.759	462.126	1136.335	271.325	366.738	258.726	766.299	502.085	1131.711	2285.475	934.984	1001.986	1213.644	1343.612	215.169	338.522	1327.197	334.669	375.952	388.676	433.870
26	240.950	252.067	311.596	336.225	598.962	548.563	264.997	495.502	714.251	456.248	1005.358	256.739	276.258	310.939	260.996	388.027	332.045	369.881	658.971	928.287	909.906	277.464	796.936	452.702	275.935	623.185	524.024	375.481	545.088	820.811	1011.122	877.948	634.970	393.451	862.268	588.266	1483.943	902.222	1138.863	1069.260	1025.636	487.980	3263.093	1109.131	910.632	423.467	1397.493	520.714	931.766	739.136	1225.927	570.970	882.914	520.270	482.274	472.708	427.682	1086.695	973.333	974.503	1722.209	562.306	361.190	412.452	339.527	398.316	688.183	334.625	1678.716	520.699	985.407	1655.139	542.284	557.212	712.779	1350.419	552.955	1241.916	1761.666	784.394	398.474	842.320	451.631	346.885	801.701	472.712	1191.076	247.246	371.190	246.607	749.805	532.932	1174.425	2333.493	911.703	765.974	1436.635	1333.921	226.935	354.006	1325.297	341.407	379.521	359.222	484.221
27	245.225	238.885	303.950	290.578	647.696	532.708	248.715	485.221	675.933	464.985	1083.680	247.249	295.092	370.497	253.436	353.599	316.403	357.699	632.576	945.966	828.125	261.450	836.324	479.518	328.825	714.384	491.029	325.897	569.027	934.012	1016.684	956.045	632.356	353.288	823.742	486.157	1532.118	950.094	1133.770	1040.910	1063.457	477.997	3078.358	956.231	867.292	395.265	1300.816	530.728	953.899	786.411	1288.544	545.823	1035.130	476.431	514.278	481.545	450.035	1033.678	1037.956	1062.120	1778.685	586.115	422.973	383.060	364.361	360.226	600.743	349.985	1700.533	480.312	1036.521	1531.996	506.916	549.935	717.670	1365.272	547.103	1225.065	1667.052	835.910	367.156	760.581	502.084	345.330	798.372	465.640	1182.180	269.826	373.652	236.109	692.347	504.612	1201.933	2314.992	937.639	839.272	1371.997	1380.024	230.247	357.759	1324.092	355.154	378.373	350.541	468.359
28	248.842	246.634	299.765	322.766	595.051	514.515	281.107	438.954	663.304	469.793	1036.356	245.086	270.943	356.832	264.241	412.092	333.245	322.020	741.617	925.574	785.971	273.792	781.103	464.177	287.399	648.665	504.291	385.085	478.513	881.299	1090.129	882.188	674.010	385.486	839.544	520.584	1416.963	954.883	1208.528	1062.912	1000.948	504.972	3146.453	1063.297	890.891	421.345	1233.296	575.375	942.888	655.776	1262.071	561.121	821.971	505.843	495.368	489.362	469.635	1075.486	992.865	1015.389	1631.151	612.435	391.131	430.618	360.450	426.897	621.410	317.894	1711.882	528.023	1033.240	1544.051	536.596	568.179	686.643	1530.265	532.718	1342.345	1853.051	836.907	376.739	816.184	485.482	344.249	837.142	465.819	1199.380	263.043	422.860	247.498	718.554	498.875	1238.921	2305.348	1015.823	899.499	1534.056	1294.588	219.449	344.774	1177.707	342.424	362.586	361.534	465.202
