 	X	Y
1	15.456	349.933
2	35.226	365.332
3	65.161	373.375
4	163.697	355.343
5	271.787	386.043
6	273.618	319.293
7	300.979	329.614
8	336.309	369.362
9	332.090	235.342
10	327.439	252.255
11	206.557	243.027
12	188.983	252.212
13	179.772	224.575
14	200.706	281.182
15	144.644	276.777
16	83.680	278.045
17	187.036	205.057
18	67.415	288.272
19	77.296	204.810
20	95.472	183.958
21	95.084	163.788
22	61.984	150.014
23	124.515	137.767
24	150.805	188.632
25	162.781	192.082
26	165.190	145.959
27	189.656	154.539
28	207.268	194.773
29	217.887	219.740
30	254.323	206.425
31	272.810	148.615
32	290.537	145.670
33	296.943	184.868
34	336.164	122.737
35	357.668	202.400
36	223.158	104.490
37	191.631	109.472
38	204.903	75.653
39	190.392	67.344
40	181.526	62.798
41	179.085	54.199
42	42.986	107.144
43	74.011	89.112
44	8.515	31.765
45	170.903	70.622
46	322.811	373.987
47	309.478	107.181
48	75.076	142.057
49	112.591	153.295
50	87.408	143.562
51	92.103	126.423
52	160.977	167.102
53	183.006	90.566
54	207.516	118.870
55	215.689	124.648
56	226.956	127.807
57	218.326	146.770
58	271.475	186.065
59	276.816	195.369
60	323.292	241.286
61	347.673	213.851
62	353.379	219.943
63	358.276	249.909
64	271.119	222.942
65	252.328	357.373
66	261.970	322.329
67	266.547	332.559
68	345.621	368.709
69	293.946	106.143
70	269.497	236.415
71	299.442	165.974
72	335.830	384.632
73	291.254	277.658
74	267.013	121.999
75	290.552	352.397
76	157.029	122.116
77	190.470	135.696
78	251.281	175.247
79	323.905	115.532
80	291.374	209.902
81	259.292	249.506
82	285.563	159.869
83	287.707	201.604
84	320.590	347.852
85	311.459	250.776
86	241.755	78.724
87	386.507	178.652
88	43.957	352.711
89	51.969	315.681
90	21.559	304.967
91	305.429	263.250
92	80.697	185.318
93	155.616	103.843
94	113.404	108.621
95	276.830	297.008
96	256.066	54.862
97	221.194	52.985
98	261.522	189.816
99	158.747	324.280
100	273.804	365.965
101	283.848	124.901
102	313.373	185.324
103	252.898	80.389
104	45.680	115.400
105	104.097	183.837
